Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line 
08/28/2008,Ball State,48,31,190,26,22,297,0,0,Northeastern,14,32,93,37,20,231,0,0,H, 
08/28/2008,Baylor,13,34,94,30,15,156,2,3,Wake Forest,41,44,156,36,27,220,0,2,H,-12 
08/28/2008,Buffalo,42,50,263,16,10,221,0,2,UTEP,17,26,67,37,20,199,3,0,H,3
08/28/2008,Central Michigan,31,44,172,31,21,217,0,0,Eastern Illinois,12,31,83,28,19,201,0,1,H, 
08/28/2008,Cincinnati,40,44,209,35,26,348,0,1,Eastern Kentucky,7,28,48,18,13,147,1,1,H, 
08/28/2008,Connecticut,35,43,218,30,18,233,3,2,Hofstra,3,28,40,28,17,130,2,1,H, 
08/28/2008,Eastern Michigan,52,53,413,29,21,224,0,1,Indiana State,0,31,75,23,7,57,3,0,H, 
08/28/2008,Georgia Tech,41,46,349,15,8,135,0,2,Jacksonville St,14,31,122,37,22,136,2,2,H, 
08/28/2008,Iowa State,44,42,229,19,13,159,0,3,South Dakota State,17,25,180,37,23,170,5,1,H, 
08/28/2008,Miami-Florida,52,38,224,27,17,192,0,1,Charleston Southern,7,30,49,22,11,77,0,1,H, 
08/28/2008,Miami-Ohio,13,25,96,42,19,244,3,0,Vanderbilt,34,50,269,16,9,91,0,2,H,3.5
08/28/2008,Middle Tennessee,17,50,84,34,20,200,1,1,Troy,31,36,164,28,17,136,1,3,H,-6
08/28/2008,No Carolina State,0,37,89,20,5,49,2,2,South Carolina,34,42,171,27,17,198,4,0,V,-14
08/28/2008,Oregon State,28,28,86,54,34,404,2,1,Stanford,36,48,210,17,10,91,0,0,V,2.5
08/28/2008,South Carolina,34,42,171,27,17,198,4,0,No Carolina State,0,37,89,20,5,49,2,2,H,14
08/28/2008,Stanford,36,48,210,17,10,91,0,0,Oregon State,28,28,86,54,34,404,2,1,H,-2.5
08/28/2008,Troy,31,36,164,28,17,136,1,3,Middle Tennessee,17,50,84,34,20,200,1,1,V,6
08/28/2008,UTEP,17,26,67,37,20,199,3,0,Buffalo,42,50,263,16,10,221,0,2,V,-3
08/28/2008,Vanderbilt,34,50,269,16,9,91,0,2,Miami-Ohio,13,25,96,42,19,244,3,0,V,-3.5
08/28/2008,Wake Forest,41,44,156,36,27,220,0,2,Baylor,13,34,94,30,15,156,2,3,V,12
08/29/2008,Army,7,58,210,15,6,74,1,2,Temple,35,30,84,23,16,166,1,1,H,-7
08/29/2008,Rice,56,44,208,37,24,258,0,2,S-M-U,27,14,11,49,30,326,3,2,H,3
08/29/2008,S-M-U,27,14,11,49,30,326,3,2,Rice,56,44,208,37,24,258,0,2,V,-3
08/29/2008,Temple,35,30,84,23,16,166,1,1,Army,7,58,210,15,6,74,1,2,V,7
08/30/2008,Air Force,41,76,433,12,8,75,0,2,Southern Utah,7,23,7,25,15,123,0,2,H, 
08/30/2008,Akron,17,22,70,37,22,227,0,1,Wisconsin,38,63,404,10,7,75,1,2,V,-26.5
08/30/2008,Alabama,34,50,239,30,22,180,0,0,Clemson,10,14,0,34,20,188,1,1,N,-4.5
08/30/2008,Arizona,70,49,265,31,23,256,0,0,Idaho,0,25,64,27,10,48,4,1,H,27
08/30/2008,Arizona State,30,23,94,36,23,387,0,1,Northern Arizona,13,42,139,36,19,169,0,0,H, 
08/30/2008,Arkansas,28,21,76,41,25,318,1,2,Western Illinois,24,46,157,26,10,105,0,0,H, 
08/30/2008,Arkansas State,18,45,255,28,15,160,0,1,Texas A+M,14,36,133,27,19,170,2,2,V,-18.5
08/30/2008,Auburn,34,46,321,27,13,85,1,0,UL-Monroe,0,30,84,38,20,136,0,2,H,26
08/30/2008,Boise State,49,37,230,29,19,352,0,2,Idaho State,7,45,115,23,16,92,0,1,H, 
08/30/2008,Boston College,21,47,230,18,12,106,0,0,Kent State,0,36,126,21,13,134,2,1,N,10
08/30/2008,Bowling Green,27,28,64,42,26,190,1,0,Pittsburgh,17,35,129,51,29,264,1,3,V,-13.5
08/30/2008,Brigham Young,41,28,77,41,34,486,0,4,Northern Iowa,17,40,149,25,17,213,0,2,H, 
08/30/2008,California,38,36,203,30,20,264,2,0,Michigan State,31,31,81,48,20,321,1,0,H,5
08/30/2008,Clemson,10,14,0,34,20,188,1,1,Alabama,34,50,239,30,22,180,0,0,N,4.5
08/30/2008,Duke,31,48,218,31,18,146,0,2,James Madison,7,37,188,11,4,51,1,2,H, 
08/30/2008,East Carolina,27,41,158,25,19,211,0,2,Virginia Tech,22,35,104,23,14,139,2,0,N,-9
08/30/2008,Florida,56,38,255,17,10,151,0,0,Hawaii,10,24,60,39,21,181,4,2,H,34.5
08/30/2008,Florida Atlantic,10,23,37,39,17,255,1,1,Texas,52,46,232,35,28,271,0,0,V,-24
08/30/2008,Florida Intl,10,26,66,29,10,73,2,1,Kansas,40,36,128,52,37,256,1,1,V,-36
08/30/2008,Georgia,45,32,212,27,17,323,0,1,Georgia Southern,21,35,102,36,19,188,1,0,H, 
08/30/2008,Hawaii,10,24,60,39,21,181,4,2,Florida,56,38,255,17,10,151,0,0,V,-34.5
08/30/2008,Houston,55,33,148,49,39,467,0,1,Southern Univ,3,23,35,39,25,217,1,2,H, 
08/30/2008,Idaho,0,25,64,27,10,48,4,1,Arizona,70,49,265,31,23,256,0,0,V,-27
08/30/2008,Illinois,42,35,81,42,26,451,2,0,Missouri,52,37,226,45,26,323,1,1,N,-9
08/30/2008,Indiana,31,41,297,30,18,153,1,0,Western Kentucky,13,31,63,31,19,219,0,1,H,19
