Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line
08/30/2012,Akron,14,27,69,54,31,256,1,3,U-C-F,56,46,206,19,14,180,1,0,H,-24.5
08/30/2012,Arizona State,63,51,305,20,16,249,0,1,Northern Arizona,6,35,88,26,12,149,3,0,H, 
08/30/2012,Ball State,37,55,329,41,26,267,0,1,Eastern Michigan,26,33,180,34,15,186,0,1,H,3
08/30/2012,Brigham Young,30,41,123,37,26,303,0,0,Washington State,6,16,-5,45,30,229,2,0,H,13
08/30/2012,Central Michigan,38,45,324,23,14,171,1,2,S E Missouri St,27,42,188,18,11,120,0,0,H, 
08/30/2012,Connecticut,37,43,147,27,16,225,2,1,Massachusetts,0,24,3,23,9,56,1,0,H,21
08/30/2012,Eastern Michigan,26,33,180,34,15,186,0,1,Ball State,37,55,329,41,26,267,0,1,V,-3
08/30/2012,Idaho,3,30,70,35,17,153,2,1,Eastern Washington,20,38,144,30,12,244,0,0,H, 
08/30/2012,Kent State,41,38,101,22,13,166,0,0,Towson,21,30,70,36,26,246,2,4,H, 
08/30/2012,Massachusetts,0,24,3,23,9,56,1,0,Connecticut,37,43,147,27,16,225,2,1,V,-21
08/30/2012,Middle Tennessee,21,27,103,41,27,240,1,2,McNeese State,27,51,298,19,12,152,0,0,H, 
08/30/2012,Minnesota,30,46,209,30,17,269,1,1,Nevada-Las Vegas,27,37,159,35,16,116,3,0,V,9.5
08/30/2012,Nevada-Las Vegas,27,37,159,35,16,116,3,0,Minnesota,30,46,209,30,17,269,1,1,H,-9.5
08/30/2012,New Mexico State,49,40,101,22,14,367,0,0,Sacramento State,19,31,89,35,23,308,1,2,H, 
08/30/2012,Rice,24,48,174,30,18,184,1,1,U.C.L.A.,49,37,343,32,24,303,1,1,H,-16
08/30/2012,South Carolina,17,47,205,15,7,67,1,1,Vanderbilt,13,36,62,23,13,214,1,0,V,6.5
08/30/2012,U-C-F,56,46,206,19,14,180,1,0,Akron,14,27,69,54,31,256,1,3,V,24.5
08/30/2012,U.C.L.A.,49,37,343,32,24,303,1,1,Rice,24,48,174,30,18,184,1,1,V,16
08/30/2012,Utah,41,47,193,29,21,221,1,0,Northern Colorado,0,24,35,26,11,79,1,1,H, 
08/30/2012,Utah State,34,52,265,26,23,304,1,1,Southern Utah,3,27,56,31,12,153,1,0,H, 
08/30/2012,Vanderbilt,13,36,62,23,13,214,1,0,South Carolina,17,47,205,15,7,67,1,1,H,-6.5
08/30/2012,Washington State,6,16,-5,45,30,229,2,0,Brigham Young,30,41,123,37,26,303,0,0,V,-13
08/31/2012,Boise State,13,24,37,32,15,169,1,1,Michigan State,17,52,213,38,22,248,3,1,V,-7.5
08/31/2012,Florida Atlantic,7,41,164,23,14,163,0,4,Wagner,3,35,124,20,7,91,1,0,H, 
08/31/2012,Michigan State,17,52,213,38,22,248,3,1,Boise State,13,24,37,32,15,169,1,1,H,7.5
08/31/2012,No Carolina State,21,32,119,48,27,288,4,0,Tennessee,35,38,191,41,27,333,0,1,N,-3
08/31/2012,San Jose State,17,27,72,35,24,216,1,1,Stanford,20,41,155,26,16,125,0,0,V,-24.5
08/31/2012,Stanford,20,41,155,26,16,125,0,0,San Jose State,17,27,72,35,24,216,1,1,H,24.5
08/31/2012,Temple,41,47,301,11,5,61,0,0,Villanova,10,44,212,24,11,153,1,1,H, 
08/31/2012,Tennessee,35,38,191,41,27,333,0,1,No Carolina State,21,32,119,48,27,288,4,0,N,3
09/01/2012,Air Force,49,58,484,11,8,142,0,0,Idaho State,21,28,66,53,42,365,1,0,H, 
09/01/2012,Alabama,41,42,232,21,11,199,0,1,Michigan,14,29,69,27,11,200,3,0,N,13.5
09/01/2012,Arizona,24,41,237,47,30,387,1,2,Toledo,17,47,161,47,21,197,0,1,H,10
09/01/2012,Arkansas,49,35,164,34,23,400,0,3,Jacksonville St,24,44,95,37,18,227,0,1,H, 
09/01/2012,Arkansas State,34,37,226,44,29,304,1,2,Oregon,57,57,297,39,28,308,1,0,V,-38
09/01/2012,Auburn,19,37,180,27,11,194,1,1,Clemson,26,52,320,35,24,208,1,0,N,-2.5
09/01/2012,Boston College,32,34,101,51,32,441,1,2,Miami-Florida,41,34,208,45,28,207,1,0,H,-2.5
09/01/2012,Bowling Green,14,27,101,52,25,226,1,1,Florida,27,42,220,21,13,145,0,1,V,-28.5
09/01/2012,Buffalo,23,45,199,25,14,148,0,0,Georgia,45,39,227,27,15,258,0,0,V,-38
09/01/2012,California,24,29,110,38,18,255,0,2,Nevada-Reno,31,57,220,32,25,230,0,1,H,12
09/01/2012,Clemson,26,52,320,35,24,208,1,0,Auburn,19,37,180,27,11,194,1,1,N,2.5
09/01/2012,Colorado,17,29,58,41,22,187,0,2,Colorado State,22,44,125,21,14,173,0,1,N,6
09/01/2012,Colorado State,22,44,125,21,14,173,0,1,Colorado,17,29,58,41,22,187,0,2,N,-6
09/01/2012,Duke,46,30,119,34,23,301,1,1,Florida Intl,26,45,165,46,27,348,0,2,H,3
09/01/2012,East Carolina,35,35,148,43,28,242,1,1,Appalachian State,13,32,119,40,23,300,1,2,H, 
09/01/2012,Florida,27,42,220,21,13,145,0,1,Bowling Green,14,27,101,52,25,226,1,1,H,28.5
09/01/2012,Florida Intl,26,45,165,46,27,348,0,2,Duke,46,30,119,34,23,301,1,1,V,-3
09/01/2012,Florida State,69,42,285,35,25,321,1,1,Murray State,3,32,39,38,19,117,1,2,H, 
09/01/2012,Fresno State,37,39,217,26,20,298,0,0,Weber State,10,29,67,33,26,207,1,0,H, 
09/01/2012,Georgia,45,39,227,27,15,258,0,0,Buffalo,23,45,199,25,14,148,0,0,H,38
09/01/2012,Hawaii,10,32,46,39,25,208,2,2,Southern Cal,49,23,86,41,26,379,0,1,V,-43
09/01/2012,Houston,13,23,115,44,17,211,1,1,Texas State,30,52,248,25,19,196,0,1,H,34.5
09/01/2012,Illinois,24,41,115,21,13,133,1,0,Western Michigan,7,19,-6,47,28,265,3,1,H,10
09/01/2012,Indiana,24,47,171,36,26,280,0,0,Indiana State,17,32,176,32,20,211,1,1,H, 
09/01/2012,Iowa,18,49,139,33,21,129,0,0,Northern Illinois,17,36,147,16,6,54,0,1,N,2.5
09/01/2012,Iowa State,38,45,160,45,32,281,1,0,Tulsa,23,34,160,49,23,198,2,1,H,-1.5
09/01/2012,Kansas,31,48,263,36,17,169,1,1,South Dakota State,17,33,204,40,18,207,4,1,H, 
09/01/2012,Kansas State,51,40,324,28,19,169,0,0,Missouri State,9,26,95,51,26,323,1,1,H, 
09/01/2012,Louisiana State,41,46,316,26,19,192,1,0,North Texas,14,35,76,21,8,143,1,1,H,42
09/01/2012,Marshall,34,45,132,56,38,413,1,1,West Virginia,69,35,331,39,34,324,1,0,V,-27
09/01/2012,Maryland,7,33,91,24,16,145,3,1,William + Mary,6,41,104,23,10,125,1,1,H, 
09/01/2012,Memphis,17,44,202,28,12,157,0,3,Tennessee-Martin,20,38,181,39,19,211,2,1,H, 
09/01/2012,Miami-Florida,41,34,208,45,28,207,1,0,Boston College,32,34,101,51,32,441,1,2,V,2.5
09/01/2012,Miami-Ohio,10,20,-1,54,32,313,2,1,Ohio State,56,53,294,33,19,244,0,0,V,-26
09/01/2012,Michigan,14,29,69,27,11,200,3,0,Alabama,41,42,232,21,11,199,0,1,N,-13.5
09/01/2012,Mississippi,49,47,235,31,25,330,1,0,Central Arkansas,27,35,100,32,25,247,1,1,H, 
09/01/2012,Mississippi State,56,37,194,27,16,183,0,0,Jackson State,9,21,109,38,20,156,2,1,H, 
09/01/2012,Missouri,62,36,261,26,18,191,0,0,S E Louisiana,10,34,58,34,21,165,1,3,H, 
09/01/2012,Navy,10,40,149,20,14,192,1,3,Notre Dame,50,46,293,23,16,197,1,0,N,-14.5
09/01/2012,Nebraska,49,45,278,34,26,354,0,0,Southern Miss,20,47,185,19,7,75,0,1,H,20.5
09/01/2012,Nevada-Reno,31,57,220,32,25,230,0,1,California,24,29,110,38,18,255,0,2,V,-12
09/01/2012,New Mexico,66,51,347,10,7,70,0,0,Southern Univ,21,30,83,34,20,242,2,2,H, 
09/01/2012,North Carolina,62,46,243,28,20,281,1,1,Elon,0,36,42,34,17,128,2,2,H, 
09/01/2012,North Texas,14,35,76,21,8,143,1,1,Louisiana State,41,46,316,26,19,192,1,0,V,-42
09/01/2012,Northern Illinois,17,36,147,16,6,54,0,1,Iowa,18,49,139,33,21,129,0,0,N,-2.5
09/01/2012,Northwestern,42,40,124,32,22,213,0,1,Syracuse,41,30,126,65,44,470,1,2,V,-2
09/01/2012,Notre Dame,50,46,293,23,16,197,1,0,Navy,10,40,149,20,14,192,1,3,N,14.5
09/01/2012,Ohio,24,47,175,41,31,324,0,0,Penn State,14,22,92,48,27,260,1,2,V,-6
09/01/2012,Ohio State,56,53,294,33,19,244,0,0,Miami-Ohio,10,20,-1,54,32,313,2,1,H,26
09/01/2012,Oklahoma,24,37,205,36,21,222,0,0,UTEP,7,36,207,26,7,48,0,0,V,30
09/01/2012,Oklahoma State,84,42,395,37,26,287,1,1,Savannah State,0,41,58,27,12,81,2,0,H, 
09/01/2012,Oregon,57,57,297,39,28,308,1,0,Arkansas State,34,37,226,44,29,304,1,2,H,38
09/01/2012,Penn State,14,22,92,48,27,260,1,2,Ohio,24,47,175,41,31,324,0,0,H,6
