Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
08/26/2000,Brigham Young,3,24,-2,46,18,227,3,0,Florida State,29,36,57,51,32,318,0,1
08/26/2000,Florida State,29,36,57,51,32,318,0,1,Brigham Young,3,24,-2,46,18,227,3,0
08/26/2000,Iowa,7,30,80,26,10,76,1,0,Kansas State,27,47,178,28,14,250,2,1
08/26/2000,Kansas State,27,47,178,28,14,250,2,1,Iowa,7,30,80,26,10,76,1,0
08/26/2000,Louisiana Tech,63,37,190,34,29,362,1,2,Miss Valley State,10,36,97,33,14,186,2,0
08/26/2000,New Mexico,3,52,115,18,6,52,1,2,Texas Tech,24,24,69,47,21,186,1,0
08/26/2000,Penn State,5,22,6,30,10,136,1,0,Southern Cal,29,50,164,20,10,87,1,0
08/26/2000,Southern Cal,29,50,164,20,10,87,1,0,Penn State,5,22,6,30,10,136,1,0
08/26/2000,Texas Tech,24,24,69,47,21,186,1,0,New Mexico,3,52,115,18,6,52,1,2
09/02/2000,Air Force,55,74,583,20,11,115,1,0,Northridge State,6,32,125,29,15,102,1,2
09/02/2000,Akron,23,44,162,30,14,248,1,1,Virginia Tech,52,48,335,16,9,214,1,3
09/02/2000,Arkansas State,31,45,179,25,13,152,0,2,No Carolina State,38,35,142,57,29,397,0,3
09/02/2000,Alabama,24,30,146,30,11,119,1,2,U.C.L.A.,35,57,171,27,15,225,1,0
09/02/2000,Arizona,17,39,135,15,3,11,0,0,Utah,3,39,60,51,21,310,2,3
09/02/2000,Arkansas,38,49,183,29,20,249,0,0,S W Missouri St,0,22,47,20,8,51,1,1
09/02/2000,Army,17,34,120,29,14,123,1,1,Cincinnati,23,51,198,29,18,239,2,0
09/02/2000,Auburn,35,45,177,21,12,266,0,2,Wyoming,21,27,29,36,20,213,1,0
09/02/2000,Arizona State,10,40,110,42,18,160,1,0,San Diego State,7,28,100,57,24,219,1,0
09/02/2000,Ball State,19,34,85,26,14,174,1,2,Florida,40,32,130,46,21,327,0,1
09/02/2000,Baylor,20,36,107,30,18,218,0,0,North Texas,7,34,95,17,10,144,2,2
09/02/2000,Boise State,31,35,139,34,17,168,0,0,New Mexico,14,44,156,26,12,122,2,0
09/02/2000,Boston College,14,33,79,33,15,127,3,2,West Virginia,34,53,189,19,7,166,0,0
09/02/2000,Bowling Green,7,28,58,42,18,213,1,0,Michigan,42,53,289,19,15,265,0,2
09/02/2000,Buffalo,7,33,102,36,16,168,2,3,Syracuse,63,50,304,9,6,82,1,0
09/02/2000,Brigham Young,38,34,93,42,34,447,2,1,Virginia,35,42,270,23,13,217,1,0
09/02/2000,Central Florida,17,26,8,31,16,247,1,1,Georgia Tech,21,44,110,41,23,226,0,2
09/02/2000,Cincinnati,23,51,198,29,18,239,2,0,Army,17,34,120,29,14,123,1,1
