Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
08/23/2001,Louisville,45,30,101,32,18,272,1,0,New Mexico State,24,68,407,16,8,137,0,0
08/23/2001,New Mexico State,24,68,407,16,8,137,0,0,Louisville,45,30,101,32,18,272,1,0
08/25/2001,Brigham Young,70,49,437,33,27,297,0,1,Tulane,35,43,219,49,23,289,1,0
08/25/2001,Nebraska,21,50,159,18,10,151,1,0,Texas Christian,7,28,56,22,11,130,0,0
08/25/2001,North Carolina,27,35,64,41,17,226,1,4,Oklahoma,41,33,108,31,21,178,1,0
08/25/2001,Oklahoma,41,33,108,31,21,178,1,0,North Carolina,27,35,64,41,17,226,1,4
08/25/2001,Texas Christian,7,28,56,22,11,130,0,0,Nebraska,21,50,159,18,10,151,1,0
08/25/2001,Tulane,35,43,219,49,23,289,1,0,Brigham Young,70,49,437,33,27,297,0,1
08/25/2001,Virginia,17,33,128,32,13,178,2,1,Wisconsin,26,51,228,24,10,191,1,0
08/25/2001,Wisconsin,26,51,228,24,10,191,1,0,Virginia,17,33,128,32,13,178,2,1
08/26/2001,Colorado,22,31,66,51,31,346,2,3,Fresno State,24,35,89,36,21,198,0,0
08/26/2001,Fresno State,24,35,89,36,21,198,0,0,Colorado,22,31,66,51,31,346,2,3
08/26/2001,Georgia Tech,13,46,125,26,15,224,0,0,Syracuse,7,26,59,32,19,183,1,0
08/26/2001,Syracuse,7,26,59,32,19,183,1,0,Georgia Tech,13,46,125,26,15,224,0,0
08/30/2001,Akron,31,46,290,24,19,217,0,2,Ohio,29,60,339,11,9,104,0,0
08/30/2001,Alabama-Birmingham,41,51,267,24,10,161,2,0,Montana State,13,17,-1,42,19,156,2,0
08/30/2001,Arizona,23,37,55,32,21,176,1,0,San Diego State,10,29,41,38,18,160,0,3
08/30/2001,Arkansas,14,26,25,32,12,89,1,3,Nevada-Las Vegas,10,54,258,16,4,40,3,1
08/30/2001,Buffalo,15,25,55,40,21,180,2,0,Rutgers,31,45,196,23,11,157,2,1
08/30/2001,Central Michigan,42,45,124,29,16,195,0,1,Eastern Kentucky,28,48,224,25,11,129,1,2
08/30/2001,Idaho,7,24,74,30,14,72,0,0,Washington State,36,49,241,32,19,303,0,1
08/30/2001,Mid Tennessee St,37,52,300,36,27,308,0,1,Vanderbilt,28,28,177,32,13,300,0,0
08/30/2001,Minnesota,7,30,103,35,22,187,0,1,Toledo,38,50,363,25,17,149,0,1
08/30/2001,Navy,26,31,49,30,15,210,1,0,Temple,45,54,285,22,15,175,1,1
08/30/2001,Nevada-Las Vegas,10,54,258,16,4,40,3,1,Arkansas,14,26,25,32,12,89,1,3
08/30/2001,Northern Illinois,20,47,200,36,20,144,0,1,South Florida,17,30,51,32,17,223,0,1
08/30/2001,Ohio,29,60,339,11,9,104,0,0,Akron,31,46,290,24,19,217,0,2
